hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
HARD ROCK HOTEL GOA,Goa,India,4.2,"3,711","Free Wi-Fi,Free Parking,Restaurant",This 5 Star Resort in Goa is located in Calangute . Full Address of property is 370/14 Porba Vaddo Calangute Bardez Goa (View On Map). This Resort have 4.2 Out of 5 Rating where 5 /5 for Security & 4.4 /5 for Cleanliness & 4.4 /5 for Room . Key amenities of this property are Free Wi-Fi & Free Parking & Restaurant .
The Park Baga River Goa,Goa,India,4.4,"2,820","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Baga View On Map ( Dr.Constancio Mascarenhas River View,lane opp. Old Mackies SaturdayMarket, Baga- Arpora, Bardez- Goa ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 5 /5 for Safety and Hygiene & 4.6 /5 for Hospitality & 4.5 /5 for Cleanliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Resort Rio,Goa,India,4.2,"4,230","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Resort in Goa is located in North Goa . Full Address of property is Tambudki, Arpora, goa (View On Map). This Resort have 4.2 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.3 /5 for Room & 4.3 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Luxury Private Pool Serviced Villa,Goa,India,NIL,"3,903","Kitchenette,Caretaker,Living Room","Location of the Villa is Calangute View On Map ( Gaura Vaddo, Calangute, Bardez Goa ). Top Facilities of this Villa are Kitchenette & Caretaker & Living Room ."
The Leela Goa,Goa,India,4.6,"9,000","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Hotel in Goa is located in Cavelossim Beach . Full Address of property is The Leela Goa Mobor, Cavelossim Goa (View On Map). This Hotel have 4.6 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.8 /5 for Cleanliness & 4.7 /5 for Facilities . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
"Taj Fort Aguada Resort & Spa, Candolim,Goa",Goa,India,4.6,"5,499","Doctor on Call,Free Airport Transfer,Childcare Services","Location of the Hotel is Sinquerim Beach View On Map ( Sinquerim, Bardez ). It’s a 5 Star Hotel with overall Rating 4.6 Out of 5 where 4.1 /5 for Safety and Hygiene & 4.8 /5 for Location & 4.7 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Airport Transfer & Childcare Services ."
Villa Donna,Goa,India,4.4,"2,792","Kitchenette,Caretaker,Free Wi-Fi","This 3 Star Apartment in Goa is located in Panjim . Full Address of property is H.NO 21/346/B-1 Dona Paula Taleigao Tiswadi, Panjim, Goa (View On Map). This Apartment have 4.4 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.9 /5 for Room & 4.6 /5 for Value for Money . Key amenities of this property are Kitchenette & Caretaker & Free Wi-Fi ."
DoubleTree by Hilton Goa - Panaji,Goa,India,4.4,"4,200","Doctor on Call,Childcare Services,Outdoor Sports","Location of the Hotel is Panjim View On Map ( Kadamba Plateau, Panjim Old Goa Bypass Road, Velha Goa, Panaji, 403006, India Survey no 34/1- B Chimbel, Tiswadi Goa ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 4.7 /5 for Child friendliness & 4.6 /5 for Cleanliness & 4.5 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Childcare Services & Outdoor Sports ."
Lazy Bee Cottages,Goa,India,4.1,"1,773","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Resort in Goa is located in North Goa . Full Address of property is Rautawado, Near Nagoa Circle of Dreams, Arpora Nagoa Village Bardez Goa (View On Map). This Resort have 4.1 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.2 /5 for Security & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Westwood Residence,Goa,India,3.9,"1,372","Childcare Services,Free Wi-Fi,Outdoor Sports","Location of the Hotel is North Goa View On Map ( 264/80 Alto-Savlo,Porvorim, Bardez Goa, ). It’s a 3 Star Hotel with overall Rating 3.9 Out of 5 where 4 /5 for Safety and Hygiene & 4.3 /5 for Value for Money & 4.3 /5 for Hospitality . Top Facilities of this Hotel are Childcare Services & Free Wi-Fi & Outdoor Sports ."
