,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
12027,2020-02-01,IN,India,SEARO,0,1,0,0
12028,2020-02-02,IN,India,SEARO,1,2,0,0
12029,2020-02-03,IN,India,SEARO,1,3,0,0
12030,2020-02-04,IN,India,SEARO,0,3,0,0
12031,2020-02-05,IN,India,SEARO,0,3,0,0
12032,2020-02-06,IN,India,SEARO,0,3,0,0
12033,2020-02-07,IN,India,SEARO,0,3,0,0
12034,2020-02-08,IN,India,SEARO,0,3,0,0
12035,2020-02-09,IN,India,SEARO,0,3,0,0
12036,2020-02-10,IN,India,SEARO,0,3,0,0
12037,2020-02-11,IN,India,SEARO,0,3,0,0
12038,2020-02-12,IN,India,SEARO,0,3,0,0
12039,2020-02-13,IN,India,SEARO,0,3,0,0
12040,2020-02-14,IN,India,SEARO,0,3,0,0
12041,2020-02-15,IN,India,SEARO,0,3,0,0
12042,2020-02-16,IN,India,SEARO,0,3,0,0
12043,2020-02-17,IN,India,SEARO,0,3,0,0
12044,2020-02-18,IN,India,SEARO,0,3,0,0
12045,2020-02-19,IN,India,SEARO,0,3,0,0
12046,2020-02-20,IN,India,SEARO,0,3,0,0
12047,2020-02-21,IN,India,SEARO,0,3,0,0
12048,2020-02-22,IN,India,SEARO,0,3,0,0
12049,2020-02-23,IN,India,SEARO,0,3,0,0
12050,2020-02-24,IN,India,SEARO,0,3,0,0
12051,2020-02-25,IN,India,SEARO,0,3,0,0
12052,2020-02-26,IN,India,SEARO,0,3,0,0
12053,2020-02-27,IN,India,SEARO,0,3,0,0
12054,2020-02-28,IN,India,SEARO,0,3,0,0
12055,2020-02-29,IN,India,SEARO,0,3,0,0
12056,2020-03-01,IN,India,SEARO,0,3,0,0
12057,2020-03-02,IN,India,SEARO,2,5,0,0
12058,2020-03-03,IN,India,SEARO,0,5,0,0
12059,2020-03-04,IN,India,SEARO,22,27,0,0
12060,2020-03-05,IN,India,SEARO,2,29,0,0
12061,2020-03-06,IN,India,SEARO,2,31,0,0
12062,2020-03-07,IN,India,SEARO,3,34,0,0
12063,2020-03-08,IN,India,SEARO,5,39,0,0
12064,2020-03-09,IN,India,SEARO,5,44,0,0
12065,2020-03-10,IN,India,SEARO,6,50,0,0
12066,2020-03-11,IN,India,SEARO,10,60,0,0
12067,2020-03-12,IN,India,SEARO,14,74,0,0
12068,2020-03-13,IN,India,SEARO,7,81,1,1
12069,2020-03-14,IN,India,SEARO,3,84,1,2
12070,2020-03-15,IN,India,SEARO,23,107,0,2
12071,2020-03-16,IN,India,SEARO,7,114,0,2
12072,2020-03-17,IN,India,SEARO,23,137,1,3
12073,2020-03-18,IN,India,SEARO,14,151,0,3
12074,2020-03-19,IN,India,SEARO,44,195,1,4
12075,2020-03-20,IN,India,SEARO,0,195,0,4
12076,2020-03-21,IN,India,SEARO,88,283,0,4
12077,2020-03-22,IN,India,SEARO,58,341,1,5
12078,2020-03-23,IN,India,SEARO,93,434,4,9
12079,2020-03-24,IN,India,SEARO,85,519,0,9
12080,2020-03-25,IN,India,SEARO,87,606,1,10
12081,2020-03-26,IN,India,SEARO,43,649,3,13
12082,2020-03-27,IN,India,SEARO,75,724,4,17
12083,2020-03-28,IN,India,SEARO,0,724,0,17
12084,2020-03-29,IN,India,SEARO,255,979,8,25
12085,2020-03-30,IN,India,SEARO,92,1071,4,29
12086,2020-03-31,IN,India,SEARO,180,1251,3,32
12087,2020-04-01,IN,India,SEARO,385,1636,6,38
12088,2020-04-02,IN,India,SEARO,329,1965,12,50
12089,2020-04-03,IN,India,SEARO,336,2301,6,56
12090,2020-04-04,IN,India,SEARO,601,2902,12,68
12091,2020-04-05,IN,India,SEARO,472,3374,9,77
12092,2020-04-06,IN,India,SEARO,693,4067,32,109
12093,2020-04-07,IN,India,SEARO,354,4421,5,114
12094,2020-04-08,IN,India,SEARO,853,5274,35,149
12095,2020-04-09,IN,India,SEARO,591,5865,20,169
12096,2020-04-10,IN,India,SEARO,547,6412,30,199
12097,2020-04-11,IN,India,SEARO,1035,7447,40,239
12098,2020-04-12,IN,India,SEARO,909,8356,34,273
12099,2020-04-13,IN,India,SEARO,796,9152,35,308
12100,2020-04-14,IN,India,SEARO,1211,10363,31,339
12101,2020-04-15,IN,India,SEARO,1076,11439,38,377
12102,2020-04-16,IN,India,SEARO,941,12380,37,414
12103,2020-04-17,IN,India,SEARO,1007,13387,23,437
12104,2020-04-18,IN,India,SEARO,991,14378,43,480
12105,2020-04-19,IN,India,SEARO,1334,15712,27,507
12106,2020-04-20,IN,India,SEARO,1553,17265,36,543
12107,2020-04-21,IN,India,SEARO,1336,18601,47,590
12108,2020-04-22,IN,India,SEARO,1383,19984,50,640
12109,2020-04-23,IN,India,SEARO,1409,21393,41,681
12110,2020-04-24,IN,India,SEARO,1684,23077,37,718
12111,2020-04-25,IN,India,SEARO,1429,24506,57,775
12112,2020-04-26,IN,India,SEARO,1990,26496,49,824
12113,2020-04-27,IN,India,SEARO,1396,27892,48,872
12114,2020-04-28,IN,India,SEARO,1543,29435,62,934
12115,2020-04-29,IN,India,SEARO,1897,31332,73,1007
12116,2020-04-30,IN,India,SEARO,1718,33050,67,1074
12117,2020-05-01,IN,India,SEARO,1993,35043,73,1147
12118,2020-05-02,IN,India,SEARO,2293,37336,71,1218
12119,2020-05-03,IN,India,SEARO,2644,39980,83,1301
12120,2020-05-04,IN,India,SEARO,2553,42533,72,1373
12121,2020-05-05,IN,India,SEARO,3900,46433,195,1568
12122,2020-05-06,IN,India,SEARO,2958,49391,126,1694
12123,2020-05-07,IN,India,SEARO,3561,52952,89,1783
12124,2020-05-08,IN,India,SEARO,3390,56342,103,1886
12125,2020-05-09,IN,India,SEARO,3320,59662,95,1981
12126,2020-05-10,IN,India,SEARO,3277,62939,128,2109
12127,2020-05-11,IN,India,SEARO,4213,67152,97,2206
12128,2020-05-12,IN,India,SEARO,3604,70756,87,2293
12129,2020-05-13,IN,India,SEARO,3525,74281,122,2415
12130,2020-05-14,IN,India,SEARO,3722,78003,134,2549
12131,2020-05-15,IN,India,SEARO,3967,81970,100,2649
12132,2020-05-16,IN,India,SEARO,3970,85940,103,2752
12133,2020-05-17,IN,India,SEARO,4987,90927,120,2872
12134,2020-05-18,IN,India,SEARO,5242,96169,157,3029
